Neighborhood,City,State,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Arts District,Richmond,VA,37.543453,-77.438963,Cafe Rustika,37.54074,-77.44015,German Restaurant
Arts District,Richmond,VA,37.543453,-77.438963,The National,37.54189345405843,-77.43533156308092,Music Venue
Arts District,Richmond,VA,37.543453,-77.438963,Tarrant's Cafe,37.5455129909066,-77.4420846885243,New American Restaurant
Arts District,Richmond,VA,37.543453,-77.438963,Hilton,37.5423849,-77.4378458,Hotel
Arts District,Richmond,VA,37.543453,-77.438963,Richmond Marriott,37.5431723593463,-77.43663556873798,Hotel
Arts District,Richmond,VA,37.543453,-77.438963,Chez Foushee,37.54488331545177,-77.44252801663737,French Restaurant
Arts District,Richmond,VA,37.543453,-77.438963,Vagabond,37.54203986453328,-77.43560639663632,American Restaurant
Biotech and MCV,Richmond,VA,37.5434554,-77.430753,The Valentine,37.54154166414663,-77.43103242327882,Museum
Biotech and MCV,Richmond,VA,37.5434554,-77.430753,Barnes & Noble,37.543330966368025,-77.42902980118572,Bookstore
Biotech and MCV,Richmond,VA,37.5434554,-77.430753,Confederate White House,37.540734110255805,-77.42953499011759,History Museum
Biotech and MCV,Richmond,VA,37.5434554,-77.430753,Christopher's Runaway Gourmay,37.54022092771283,-77.43085666209379,Food Truck
Biotech and MCV,Richmond,VA,37.5434554,-77.430753,Starbucks,37.5447216,-77.4296058,Coffee Shop
Biotech and MCV,Richmond,VA,37.5434554,-77.430753,The Library of Virginia,37.54117507368081,-77.4340463997427,Library
Biotech and MCV,Richmond,VA,37.5434554,-77.430753,Panera Bread,37.540031,-77.42967879999999,Coffee Shop
Biotech and MCV,Richmond,VA,37.5434554,-77.430753,MCV Campus Recreation & Aquatic Center,37.54483083494511,-77.4296523035288,College Gym
Biotech and MCV,Richmond,VA,37.5434554,-77.430753,John Marshall House,37.541946,-77.43305500000001,History Museum
Biotech and MCV,Richmond,VA,37.5434554,-77.430753,Einstein Bros Bagels,37.540501,-77.430384,Bagel Shop
Biotech and MCV,Richmond,VA,37.5434554,-77.430753,Richmond City Hall Observation Deck,37.54118649234692,-77.433070151048,Scenic Lookout
Biotech and MCV,Richmond,VA,37.5434554,-77.430753,Au Bon Pain,37.54046756021956,-77.42953984096472,Café
Biotech and MCV,Richmond,VA,37.5434554,-77.430753,Wendy’s,37.5404516,-77.4306884,Fast Food Restaurant
Biotech and MCV,Richmond,VA,37.5434554,-77.430753,Perry Place Roof Deck,37.5405103,-77.4322266,Scenic Lookout
City Center,Richmond,VA,37.542916299999995,-77.4379257,Dominion Energy Center,37.54154888345216,-77.43696212768555,Performing Arts Venue
City Center,Richmond,VA,37.542916299999995,-77.4379257,Carpenter Theatre,37.54160048378776,-77.43687725243652,General Entertainment
City Center,Richmond,VA,37.542916299999995,-77.4379257,Pop's Market on Grace,37.542080357609365,-77.43851241380321,Café
City Center,Richmond,VA,37.542916299999995,-77.4379257,Secret Sandwich Society,37.54178707961536,-77.43822813034058,Sandwich Place
City Center,Richmond,VA,37.542916299999995,-77.4379257,Rappahannock Restaurant,37.54281,-77.439207,Seafood Restaurant
