Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Capitol District,35.7803584,-78.63912909999998,Nature Research Center,35.78248616431799,-78.64074514933678,Science Museum
Capitol District,35.7803584,-78.63912909999998,Death & Taxes,35.77824489697241,-78.64037505900414,American Restaurant
Capitol District,35.7803584,-78.63912909999998,The Raleigh Times Bar,35.77819525450138,-78.63842198656201,Gastropub
Capitol District,35.7803584,-78.63912909999998,Deco,35.77827057414117,-78.64013088640586,Gift Shop
Capitol District,35.7803584,-78.63912909999998,Foundation,35.777751232806416,-78.63916995885789,Cocktail Bar
Capitol District,35.7803584,-78.63912909999998,Paddy O'Beers,35.779169066802396,-78.63919264660531,Beer Garden
Capitol District,35.7803584,-78.63912909999998,Father & Son Antiques,35.77827619344786,-78.64073866606371,Antique Shop
Capitol District,35.7803584,-78.63912909999998,Marbles Kids Museum,35.77862367049698,-78.63603345124893,Museum
Capitol District,35.7803584,-78.63912909999998,Moon and Lola,35.778026259551375,-78.6382914073022,Jewelry Store
Capitol District,35.7803584,-78.63912909999998,lucettegrace,35.777265701471045,-78.64018852503459,Bakery
Capitol District,35.7803584,-78.63912909999998,St. Roch Fine Oysters + Bar,35.77749384669648,-78.63815310834273,Seafood Restaurant
Capitol District,35.7803584,-78.63912909999998,The Green Light,35.7781639289765,-78.63790556696199,Lounge
Capitol District,35.7803584,-78.63912909999998,Wells Fargo IMAX Theatre at Marbles,35.779001007837124,-78.63558670444802,Movie Theater
Capitol District,35.7803584,-78.63912909999998,Watts & Ward,35.77799891485004,-78.63679065366621,Speakeasy
Capitol District,35.7803584,-78.63912909999998,Beasley's Chicken + Honey,35.77696765158057,-78.63817533537843,Southern / Soul Food Restaurant
Capitol District,35.7803584,-78.63912909999998,Trophy Tap & Table,35.77741730595741,-78.63818405525227,American Restaurant
Capitol District,35.7803584,-78.63912909999998,Brewery Bhavana,35.777424987669576,-78.636864724695,Brewery
Capitol District,35.7803584,-78.63912909999998,Garland,35.77694680364745,-78.63988684178685,Asian Restaurant
Capitol District,35.7803584,-78.63912909999998,Bittersweet,35.77688144129554,-78.63872386687156,Cocktail Bar
Capitol District,35.7803584,-78.63912909999998,Capital Club 16,35.777000802294666,-78.64018863351006,Gastropub
Capitol District,35.7803584,-78.63912909999998,The Daily Planet Cafe,35.782503399049524,-78.64129354685734,Café
Capitol District,35.7803584,-78.63912909999998,Bicentennial Plaza,35.7816448092948,-78.63907859965781,Plaza
Capitol District,35.7803584,-78.63912909999998,The Architect Bar & Social House,35.778108610242164,-78.63791356282759,Bar
Capitol District,35.7803584,-78.63912909999998,London Bridge Pub,35.778168186854316,-78.63784168533577,Bar
Capitol District,35.7803584,-78.63912909999998,Caffé Luna,35.7780860912793,-78.63674948244915,Italian Restaurant
Capitol District,35.7803584,-78.63912909999998,Fox Liquor Bar,35.77699045079059,-78.63825424797324,Cocktail Bar
Capitol District,35.7803584,-78.63912909999998,Kings,35.776929348869245,-78.6397994738686,Music Venue
Capitol District,35.7803584,-78.63912909999998,Benny Capitale's,35.77886951051022,-78.63910884814624,Pizza Place
Capitol District,35.7803584,-78.63912909999998,Tonbo Ramen,35.77788024442303,-78.63818648941339,Ramen Restaurant
Capitol District,35.7803584,-78.63912909999998,The Big Easy Raleigh,35.77753033305224,-78.63919629546913,Cajun / Creole Restaurant
Capitol District,35.7803584,-78.63912909999998,Coglin's,35.777360143400315,-78.63929844249651,Bar
Capitol District,35.7803584,-78.63912909999998,Wide Open Bluegrass Street Festival,35.776928,-78.639269,Music Venue
Capitol District,35.7803584,-78.63912909999998,Landmark Tavern,35.77830043775077,-78.63756842213456,Bar
Capitol District,35.7803584,-78.63912909999998,The Mecca Restaurant,35.77691719781591,-78.6385856617528,Diner
Capitol District,35.7803584,-78.63912909999998,Slim's Downtown Distillery,35.77731781812501,-78.63824742174637,Rock Club
