Neighborhood,City,State,Latitude,Longitude
Mayfair,Washington,DC,38.902698,-76.949742
Naylor Gardens,Washington,DC,38.8582068,-76.96286580000002
Northeast Boundary,Washington,DC,38.8937543,-76.91388730000001
Penn Branch,Washington,DC,38.8726445,-76.954224
Randle Highlands,Washington,DC,38.869136,-76.9686267
River Terrace,Washington,DC,38.8920564,-76.95747469999999
Skyland,Washington,DC,38.859184,-76.971507
Twining,Washington,DC,38.8717791,-76.9658082
Anacostia,Washington,DC,38.8627944,-76.9826813
Barry Farm,Washington,DC,38.8593035,-76.9990736
Bellevue,Washington,DC,38.8274243,-77.0089452
Buena Vista,Washington,DC,38.851149,-76.9686267
Congress Heights,Washington,DC,38.8426733,-76.9959872
Douglass,Washington,DC,38.847311,-76.9801476
Garfield Heights,Washington,DC,38.8547684,-76.9722271
Knox Hill,Washington,DC,38.853446,-76.96691919999999
Shipley Terrace,Washington,DC,38.847335,-76.96914149999999
Washington Highlands,Washington,DC,38.8309429,-76.9945473
Woodland,Washington,DC,38.8560701,-76.972673
