Neighborhood,City,State,Neighborhood Latitude,Neighborhood Longitude
Belvidere Park,Raleigh,NC,35.7981893,-78.6193035
Battery Heights,Raleigh,NC,35.7778573,-78.61788469999998
Bloomsbury,Raleigh,NC,35.8091078,-78.64909349999998
Boylan Heights,Raleigh,NC,35.7743696,-78.65193020000002
Cameron Park,Raleigh,NC,35.786153799999994,-78.65547590000001
Cameron Village,Raleigh,NC,35.7937621,-78.65760329999998
Capitol District,Raleigh,NC,35.7803584,-78.63912909999998
Capitol Heights,Raleigh,NC,35.7795897,-78.6381787
Country Club Hills,Raleigh,NC,35.8270811,-78.66114879999998
Coley Forest,Raleigh,NC,35.8227763,-78.67249369999998
Depot District,Raleigh,NC,35.7771695,-78.64517579999998
Drewry Hills,Raleigh,NC,35.8281518,-78.64412910000001
Fayetteville Street,Raleigh,NC,35.7737065,-78.63945079999998
Five Points Historic Neighborhoods,Raleigh,NC,35.8027175,-78.6416146
Glenwood-Brooklyn,Raleigh,NC,35.8633075,-78.7130681
Glenwood South,Raleigh,NC,35.7849869,-78.64900870000002
Glenwood Village,Raleigh,NC,35.8179287,-78.66444820000002
Hayes Barton,Raleigh,NC,35.80204110000001,-78.65263929999998
Hi-Mount,Raleigh,NC,35.8099068,-78.6292345
Historic Oakwood,Raleigh,NC,35.784462100000006,-78.63065309999998
Longview Gardens,Raleigh,NC,35.7819503,-78.59731
Madonna Acres,Raleigh,NC,35.7900075,-78.61469240000002
Maiden Lane,Raleigh,NC,35.7870576,-78.66313170000002
Moore Square,Raleigh,NC,35.7768175,-78.63583469999998
Mordecai District,Raleigh,NC,35.7967153,-78.63207170000003
North Carolina State University,Raleigh,NC,35.7846633,-78.6820946
Raleigh Country Club,Raleigh,NC,35.77628350000001,-78.5934961
Roanoke Park,Raleigh,NC,35.801682,-78.63994509999998
Rochester Heights,Raleigh,NC,35.7545623,-78.6278158
South Park,Raleigh,NC,35.7678316,-78.63278100000002
State Government District,Raleigh,NC,35.782854500000006,-78.63714
Vanguard Park,Raleigh,NC,35.829994,-78.63119900000002
Victoria Place,Raleigh,NC,35.8102621,-78.6612585
Warehouse District,Raleigh,NC,35.7771695,-78.64517579999998
West Raleigh Historic District,Raleigh,NC,35.7776188,-78.63876549999998
Wayland Heights,Raleigh,NC,35.8128803,-78.6604397
Woodcrest,Raleigh,NC,35.800945,-78.6129188
University Park,Raleigh,NC,35.79625410000001,-78.66256700000002
Bent Tree,Raleigh,NC,35.8967506,-78.62994379999998
Brentwood Estates,Raleigh,NC,35.83040850000001,-78.59731
Brier Creek,Raleigh,NC,35.909664,-78.7848626
Brookhaven,Raleigh,NC,35.8596512,-78.6923441
Coachmans Trail,Raleigh,NC,35.9429971,-78.63561820000002
Crabtree Valley,Raleigh,NC,35.8382005,-78.68022909999998
Crossgate,Raleigh,NC,35.9149063,-78.63703670000002
Dominion Park,Raleigh,NC,35.9129084,-78.7433698
Durant Trails,Raleigh,NC,35.89637860000001,-78.59092389999998
Fairfax Hills,Raleigh,NC,35.856193299999994,-78.6207223
Falls Church,Raleigh,NC,35.8623771,-78.61504709999998
Falls River/Bedford,Raleigh,NC,35.92934310000001,-78.56324609999999
Hickory Hills,Raleigh,NC,35.8440396,-78.62805859999997
Lake Park,Raleigh,NC,35.8674383,-78.663327
Lakemont,Raleigh,NC,35.8483291,-78.62994379999998
Leesville,Raleigh,NC,35.90917479999999,-78.72556309999999
Millbrook,Raleigh,NC,35.865662,-78.60334240000002
New Hope,Raleigh,NC,35.8395953,-78.5805577
North Hills,Raleigh,NC,35.8395428,-78.6422671
North Pointe,Raleigh,NC,35.8868264,-78.6017446
North Ridge,Raleigh,NC,35.8804669,-78.6143377
North Ridge Country Club,Raleigh,NC,35.87437070000001,-78.62066709999998
Oak Park,Raleigh,NC,35.8460601,-78.70510300000002
Pinecrest,Raleigh,NC,35.82570540000001,-78.6168438
Quail Hollow,Raleigh,NC,35.8475162,-78.6214317
Quail Meadows,Raleigh,NC,35.8526267,-78.6185941
Quail Ridge,Raleigh,NC,35.8567559,-78.60901679999998
Skycrest,Raleigh,NC,35.81043779999999,-78.57508359999999
Southall,Raleigh,NC,35.8178595,-78.5646656
Springdale/Leesville,Raleigh,NC,35.9050318,-78.72280830000003
Stonebridge,Raleigh,NC,35.9271563,-78.6668214
Stonehenge,Raleigh,NC,35.8928764,-78.6880908
Summerfield,Raleigh,NC,36.208778,-79.920402
Summit Ridge,Raleigh,NC,35.8345954,-78.57333550000001
Tadlock Plantation,Raleigh,NC,35.9537661,-78.66398520000001
Tealbriar,Raleigh,NC,35.8699049,-78.60937159999997
Thorpshire,Raleigh,NC,35.893512,-78.607271
Timberlake,Raleigh,NC,35.8049102,-78.58925479999998
Village on the Green,Raleigh,NC,35.8728935,-78.65476679999998
Wakefield Plantation,Raleigh,NC,35.95847050000001,-78.5553882
Wood Valley,Raleigh,NC,35.92569520000001,-78.7123897
Asbury,Raleigh,NC,35.7901515,-78.737505
Brandywine,Raleigh,NC,35.80137639999999,-78.74469570000002
Laurel Hills,Raleigh,NC,35.838928,-78.70085019999998
Medfield,Raleigh,NC,35.8021914,-78.7600709
Olde Raleigh,Raleigh,NC,35.82869820000001,-78.7065205
Trinity Woods,Raleigh,NC,35.80043170000001,-78.7470105
Tysonville,Raleigh,NC,35.8207064,-78.7047267
Umstead,Raleigh,NC,35.8905776,-78.7501817
Westover,Raleigh,NC,35.79416150000001,-78.71856890000002
Biltmore Hills,Raleigh,NC,35.7508564,-78.62426909999998
Carolina Pines,Raleigh,NC,35.7484407,-78.65547590000001
Hedingham,Raleigh,NC,35.80935750000001,-78.5462098
Lake Wheeler,Raleigh,NC,35.7480461,-78.6734512
Parkland,Raleigh,NC,35.74854000000001,-78.64590210000001
Renaissance Park,Raleigh,NC,35.7352372,-78.6583124
Rhamkatte,Raleigh,NC,35.7482078,-78.67333740000002
Skycrest Village,Raleigh,NC,35.8750777,-78.5266855
Southall,Raleigh,NC,35.8178595,-78.5646656
Southgate,Raleigh,NC,35.7519249,-78.6072432
Swift Creek,Raleigh,NC,35.7435468,-78.7329963
Trailwood,Raleigh,NC,35.7592845,-78.69163520000002
Walnut Creek,Raleigh,NC,35.7493881,-78.5763028
Wilder's Grove,Raleigh,NC,35.7988044,-78.5645282
Ballentine,Norfolk,VA,36.8591836,-76.2495053
Barraud Park,Norfolk,VA,36.8631486,-76.266739
Berkley,Norfolk,VA,36.8318147,-76.2838292
Bowling Green,Norfolk,VA,36.8549669,-76.2504465
Calvert Square,Norfolk,VA,36.8543526,-76.2761515
Chesterfield Heights,Norfolk,VA,36.843649,-76.2580499
Colonial Place,Norfolk,VA,36.8848699,-76.29105190000001
Coleman Place,Norfolk,VA,36.8680062,-76.24067009999997
Cottage Road Park,Norfolk,VA,36.9113889,-76.25749990000001
Crown Point,Norfolk,VA,36.8606831,-76.223288
Diggs Park,Norfolk,VA,36.8276479,-76.26438399999998
Downtown Norfolk,Norfolk,VA,36.8500234,-76.2899071
East Ocean View,Norfolk,VA,36.9314775,-76.19721070000001
Estabrook,Norfolk,VA,36.8795919,-76.24660570000002
Fairmount Park Neighborhood,Norfolk,VA,36.8817539,-76.25660169999998
Fort Norfolk,Norfolk,VA,36.8569982,-76.30438509999998
Freemason District,Norfolk,VA,36.8521831,-76.29314609999999
Ghent,Norfolk,VA,36.864525,-76.29985719999998
Highland Park,Norfolk,VA,36.885357,-76.29859410000002
Huntersville,Norfolk,VA,36.86237,-76.2763291
Ingleside,Norfolk,VA,36.8487589,-76.2360497
Kensington,Norfolk,VA,36.874799700000004,-76.29859410000002
Larchmont-Edgewater,Norfolk,VA,36.8931404,-76.30872819999998
Lafayette / Winona,Norfolk,VA,36.8763459,-76.266739
Lafayette Shores,Norfolk,VA,36.884592,-76.26549539999998
Lakewood,Norfolk,VA,36.888391399999996,-76.26818709999998
Lamberts Point,Norfolk,VA,36.8754257,-76.3274423
Larrymore Lawns,Norfolk,VA,36.9115362,-76.22827199999998
Lindenwood,Norfolk,VA,36.8691071,-76.27253139999998
Lochhaven,Norfolk,VA,36.914592000000006,-76.3107752
Meadowbrook,Norfolk,VA,36.91348079999999,-76.3035527
North Ghent,Norfolk,VA,36.864525,-76.29985719999998
Norview,Norfolk,VA,36.89626459999999,-76.2375119
Ocean View,Norfolk,VA,36.949869299999996,-76.24632840000002
Park Place,Norfolk,VA,36.875271999999995,-76.29135500000002
Poplar Halls,Norfolk,VA,36.8512589,-76.2166046
Riverpoint,Norfolk,VA,36.89719520000001,-76.2870113
Riverview,Norfolk,VA,36.88332219999999,-76.28121949999998
Sewell's Point,Norfolk,VA,36.95486959999999,-76.3268873
Sewell's Garden,Norfolk,VA,36.8973738,-76.24356689999998
Shoop Park,Norfolk,VA,36.871520000000004,-76.26132299999998
Talbot Park,Norfolk,VA,36.9037586,-76.27938499999998
Tidewater Park,Norfolk,VA,36.8507689,-76.28587259999998
Titustown,Norfolk,VA,36.915767100000004,-76.29352670000002
Villa Heights,Norfolk,VA,36.8730006,-76.2775995
Wards Corner Business District,Norfolk,VA,36.8500234,-76.2899071
West Freemason,Norfolk,VA,36.8507013,-76.2956985
Willoughby Spit,Norfolk,VA,36.967091499999995,-76.27855199999998
Young Terrace,Norfolk,VA,36.8565209,-76.28339150000002
Alanton,Virginia Beach,VA,36.8806669,-76.02468449999998
Aragona Village,Virginia Beach,VA,36.8589035,-76.15228789999998
Bay Colony,Virginia Beach,VA,36.8747438,-75.99546109999999
Bayside,Virginia Beach,VA,36.90292520000001,-76.1343797
Cape Henry,Virginia Beach,VA,36.9315359,-76.01993139999998
Chesapeake Beach,Virginia Beach,VA,36.9154251,-76.1202127
Croatan Beach,Virginia Beach,VA,36.8279584,-75.9686395
Great Neck Point,Virginia Beach,VA,36.9007031,-76.08660019999998
Green Run,Virginia Beach,VA,36.7983333,-76.0919444
Kempsville,Virginia Beach,VA,36.8268149,-76.1602137
Lago Mar,Virginia Beach,VA,36.7458693,-75.994413
Larkspur,Virginia Beach,VA,36.8201484,-76.13743509999998
London Bridge,Virginia Beach,VA,36.8418151,-76.04965440000002
Lynnhaven,Virginia Beach,VA,36.837648400000006,-76.0685439
Newtown,Virginia Beach,VA,36.8544563,-76.1776454
The North End,Virginia Beach,VA,36.89386560000001,-75.98623529999998
Oceana,Virginia Beach,VA,36.8420929,-76.0129864
Ocean Park,Virginia Beach,VA,36.9093141,-76.10132309999999
Pembroke Manor,Virginia Beach,VA,36.8520923,-76.13604629999998
Princess Anne,Virginia Beach,VA,36.7508026,-76.0540776
Pungo,Virginia Beach,VA,36.7234837,-76.0177083
Red Mill Commons,Virginia Beach,VA,36.7601474,-76.0081771
Sandbridge,Virginia Beach,VA,36.7239073,-75.9390662
Thalia,Virginia Beach,VA,36.8434815,-76.12076789999998
