Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Charles Village,39.3200501,-76.6167212,Confirmed Stock,39.320457458496094,-76.61600494384766,Men's Store
Chinquapin Park-Belvedere,39.3642261,-76.6022778,Kadampa Meditation Center Maryland & World Peace Café,39.36552429199219,-76.60226440429688,Buddhist Temple
Cold Spring,39.3459841,-76.6549142,Coldspring Swim And Tennis Club,39.34635892882184,-76.65642234140337,Pool
Village of Cross Keys,39.3573288,-76.646636,Village of Cross Keys,39.35558670689175,-76.64604020196204,Shopping Mall
Village of Cross Keys,39.3573288,-76.646636,Village Square Cafe,39.35535921984676,-76.64636057902166,Café
Village of Cross Keys,39.3573288,-76.646636,Barston's Child's Play,39.356109619140625,-76.64546966552734,Toy / Game Store
Village of Cross Keys,39.3573288,-76.646636,Crossroads Restaurant,39.35615158081055,-76.6455307006836,American Restaurant
Village of Cross Keys,39.3573288,-76.646636,Jean Pool,39.35612106323242,-76.64549255371094,Clothing Store
Village of Cross Keys,39.3573288,-76.646636,The Pied Piper,39.355664,-76.645711,Baby Store
Village of Cross Keys,39.3573288,-76.646636,The Store Limited,39.355414,-76.645969,Women's Store
Village of Cross Keys,39.3573288,-76.646636,Scoozi,39.35591125488281,-76.64468383789062,Restaurant
Cylburn,39.3483659,-76.66292899999998,New Era Enterprises,39.347747802734375,-76.66279602050781,Event Service
Cylburn,39.3483659,-76.66292899999998,Oakley Food Market,39.3502117017661,-76.66340030616689,Convenience Store
Edgecomb,39.3425488,-76.6622072,James D. Gross Rec Ctr.,39.34408587180188,-76.6620520866162,Recreation Center
Edgecomb,39.3425488,-76.6622072,Edgecombe Circle Playground,39.34381290212642,-76.66088468036021,Playground
Edgecomb,39.3425488,-76.6622072,Food Mart,39.34394404656973,-76.66087340102032,Convenience Store
Evergreen,39.3464958,-76.63044090000002,Namaste Baltimore,39.34473002232628,-76.63102476029707,North Indian Restaurant
Evergreen,39.3464958,-76.63044090000002,Smoothie King,39.344741982156116,-76.63007592093206,Smoothie Shop
Evergreen,39.3464958,-76.63044090000002,Alonso's,39.344484916949924,-76.63111290078126,American Restaurant
Evergreen,39.3464958,-76.63044090000002,Subway - Roland Park,39.34455372548028,-76.6311253579649,Sandwich Place
Evergreen,39.3464958,-76.63044090000002,Roland Park Bagel Co.,39.34461216413159,-76.63117763630618,Bagel Shop
Evergreen,39.3464958,-76.63044090000002,The Evergreen Cafe,39.344514915601295,-76.63109990513547,Coffee Shop
Evergreen,39.3464958,-76.63044090000002,Mouth Party Caramel,39.344875,-76.63059099999998,Dessert Shop
Evergreen,39.3464958,-76.63044090000002,Soundscape,39.34472250258443,-76.63046630062014,Electronics Store
Evergreen,39.3464958,-76.63044090000002,Chow Mein Charlie Carry Out,39.3446074925133,-76.63122783593617,Chinese Restaurant
Evergreen,39.3464958,-76.63044090000002,balance-the salon,39.344496022007846,-76.63055099643667,Cosmetics Shop
Govans,39.3500792,-76.6077528,Dollar Tree,39.3498175,-76.6096825,Discount Store
Govans,39.3500792,-76.6077528,Popeyes Louisiana Kitchen,39.34947323879986,-76.61006734492376,Fried Chicken Joint
Govans,39.3500792,-76.6077528,King Wok,39.351083,-76.609429,Chinese Restaurant
Govans,39.3500792,-76.6077528,Value Village Thrift Store,39.349827530829614,-76.60965916486603,Thrift / Vintage Store
Govans,39.3500792,-76.6077528,Govanstowne Farmer's Market,39.350999,-76.610309,Farmers Market
Govans,39.3500792,-76.6077528,McDonald's,39.350368370420455,-76.6101375920789,Fast Food Restaurant
Glen Oaks,39.3660979,-76.59649999999998,Evesham Park,39.364773926469724,-76.59795860651101,Park
Glen Oaks,39.3660979,-76.59649999999998,The Playground,39.36647763128011,-76.59881625691919,Bus Stop
Glen Oaks,39.3660979,-76.59649999999998,Northern Pkwy and Chinquapin Pkwy,39.366221111900536,-76.59915480155011,Playground
Guilford,39.3415428,-76.61527699999998,Sherwood Gardens,39.34144390679086,-76.61447864970098,Garden
Guilford,39.3415428,-76.61527699999998,The tulip garden,39.339599,-76.615142,Scenic Lookout
Hampden,39.33337059999999,-76.632607,The Wine Source,39.33165433772013,-76.63110866088415,Wine Shop
Hampden,39.33337059999999,-76.632607,Sugar,39.331165,-76.632771,Adult Boutique
