Neighborhood,City,State,Latitude,Longitude
Ballantyne,Charlotte,NC,35.0469079,-80.8454702
Biddleville,Charlotte,NC,35.2445936,-80.8576911
Brooklyn,Charlotte,NC,35.2201046,-80.84193069999999
Chantilly,Charlotte,NC,35.2121282,-80.8087103
Uptown Charlotte,Charlotte,NC,35.2272302,-80.8460822
Cherry,Charlotte,NC,35.2110901,-80.8308587
Cotswold,Charlotte,NC,35.18487,-80.7907103
Coulwood,Charlotte,NC,35.2979174,-80.9445178
Derita,Charlotte,NC,35.2937526,-80.7975707
Dilworth,Charlotte,NC,35.2058551,-80.8516173
Eastland,Charlotte,NC,35.219619,-80.74638519999999
"Eastover, Charlotte",Charlotte,NC,35.1924313,-80.818401
Elizabeth,Charlotte,NC,35.2142287,-80.818401
Grier Heights,Charlotte,NC,35.1970375,-80.8073259
Hidden Valley,Charlotte,NC,35.2788395,-80.7759318
Highland Creek,Charlotte,NC,35.3780263,-80.7604628
"Madison Park, Charlotte",Charlotte,NC,35.1650179,-80.8502663
"Mountain Island, North Carolina",Charlotte,NC,35.3395516,-80.9264487
Myers Park,Charlotte,NC,35.1797081,-80.8261849
NoDa,Charlotte,NC,35.2456474,-80.80178769999999
Old North Charlotte,Charlotte,NC,35.2456474,-80.80178769999999
Parkdale,Charlotte,NC,35.251673,-80.90584799999999
Paw Creek,Charlotte,NC,35.2788586,-80.9301052
Plaza-Midwood,Charlotte,NC,35.2238589,-80.80178769999999
Quail Hollow,Charlotte,NC,35.1354006,-80.8571521
Sedgefield,Charlotte,NC,35.1957944,-80.8626864
Sherwood Forest,Charlotte,NC,35.1735457,-80.78517099999999
South End,Charlotte,NC,35.2125577,-80.85877719999999
SouthPark,Charlotte,NC,35.1484484,-80.8308959
Starmount,Charlotte,NC,35.1416926,-80.86822029999999
Steele Creek,Charlotte,NC,35.1340053,-81.0202533
Stonehaven,Charlotte,NC,35.1554966,-80.76301
University City,Charlotte,NC,36.037769,-79.034256
