Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Rose Hill,38.0384807,-78.48584989999998,Ace Biscuit & Barbecue,38.03755454222439,-78.4831953048706,BBQ Joint
Rose Hill,38.0384807,-78.48584989999998,Kardinal Hall,38.03628894520418,-78.48775516195779,Beer Garden
Rose Hill,38.0384807,-78.48584989999998,Bodo's Bagels,38.03516607617402,-78.48501400805891,Bagel Shop
Rose Hill,38.0384807,-78.48584989999998,The Juice Laundry,38.0360074,-78.4880701,Juice Bar
Rose Hill,38.0384807,-78.48584989999998,Integral Yoga Natural Foods,38.03888063401426,-78.48967720145895,Health Food Store
Rose Hill,38.0384807,-78.48584989999998,Sticks Kebob Shop,38.03830819164105,-78.48980261517978,Middle Eastern Restaurant
Rose Hill,38.0384807,-78.48584989999998,Cafe 88,38.03891805984106,-78.48984416009867,Chinese Restaurant
Rose Hill,38.0384807,-78.48584989999998,Fifth Season Gardening Co.,38.03728717738316,-78.48936586084156,Garden Center
Rose Hill,38.0384807,-78.48584989999998,Random Row Brewing Co.,38.035057608094135,-78.4864724065713,Brewery
Rose Hill,38.0384807,-78.48584989999998,Mona Lisa Pasta,38.038470011704455,-78.48999490303457,Gourmet Shop
Rose Hill,38.0384807,-78.48584989999998,Reid Super-Save Market,38.03499553272699,-78.48589542070458,Grocery Store
Rose Hill,38.0384807,-78.48584989999998,Solidarity Crossfit,38.036597,-78.48331800000001,Gym
Rose Hill,38.0384807,-78.48584989999998,The Brow House,38.03615951538086,-78.48786926269531,Salon / Barbershop
Rose Hill,38.0384807,-78.48584989999998,Blue Ridge Cyclery - Downtown,38.035934999999995,-78.488043,Bike Shop
Rose Hill,38.0384807,-78.48584989999998,Kitchen(Ette),38.039161682128906,-78.4819107055664,Food Service
Rose Hill,38.0384807,-78.48584989999998,Java Dragon,38.03893184734563,-78.48988003919652,Coffee Shop
Rose Hill,38.0384807,-78.48584989999998,Bread Works,38.03860176,-78.490198,Bakery
Starr Hill,38.032093,-78.48727060000002,Public Fish & Oyster,38.031137526898476,-78.48831364920228,Seafood Restaurant
Starr Hill,38.032093,-78.48727060000002,Oakhart Social,38.03115009806497,-78.48812491116239,Restaurant
Starr Hill,38.032093,-78.48727060000002,Feast!,38.03056115498087,-78.4869745155007,Gourmet Shop
Starr Hill,38.032093,-78.48727060000002,Tavern & Grocery,38.030734782036085,-78.48649206297058,Bistro
Starr Hill,38.032093,-78.48727060000002,Albemarle Baking Company,38.0306778208576,-78.48727852442973,Bakery
Starr Hill,38.032093,-78.48727060000002,Residence Inn by Marriott Charlottesville Downtown,38.0306024,-78.485588,Hotel
Starr Hill,38.032093,-78.48727060000002,The Shebeen Pub & Braai,38.03246260212877,-78.48510686102031,African Restaurant
Starr Hill,38.032093,-78.48727060000002,Gearharts Fine Chocolates,38.03082728064552,-78.48680163334679,Candy Store
Starr Hill,38.032093,-78.48727060000002,Lost Saint,38.030753000000004,-78.486331,Speakeasy
Starr Hill,38.032093,-78.48727060000002,Blue Moon Diner,38.03096100655036,-78.48832577298124,Diner
Starr Hill,38.032093,-78.48727060000002,Mel's Cafe,38.03167808988465,-78.49057462614962,Southern / Soul Food Restaurant
Starr Hill,38.032093,-78.48727060000002,Milli Coffee Roasters,38.033415,-78.484516,Coffee Shop
Starr Hill,38.032093,-78.48727060000002,Doma Korean Kitchen,38.031693,-78.489938,Korean Restaurant
Starr Hill,38.032093,-78.48727060000002,Snowing In Space Coffee,38.03155863070948,-78.4899362253075,Coffee Shop
Starr Hill,38.032093,-78.48727060000002,Orzo Kitchen & Wine Bar,38.0306015150236,-78.48705215031751,Italian Restaurant
Starr Hill,38.032093,-78.48727060000002,Continental Divide,38.03174846372526,-78.49103648727873,Mexican Restaurant
Starr Hill,38.032093,-78.48727060000002,The Whiskey Jar,38.03126951668239,-78.48293261108302,Southern / Soul Food Restaurant
Starr Hill,38.032093,-78.48727060000002,Bodo's Bagels,38.03516607617402,-78.48501400805891,Bagel Shop
Starr Hill,38.032093,-78.48727060000002,Jefferson School City Center,38.03193402505368,-78.48677943583532,Historic Site
Starr Hill,38.032093,-78.48727060000002,Maya,38.03147026036441,-78.48949060142509,Southern / Soul Food Restaurant
Starr Hill,38.032093,-78.48727060000002,The Livery Stable,38.03157382003198,-78.48314068896381,American Restaurant
Starr Hill,38.032093,-78.48727060000002,Random Row Brewing Co.,38.035057608094135,-78.4864724065713,Brewery
Starr Hill,38.032093,-78.48727060000002,Pearls Bake Shoppe,38.031693,-78.489938,Dessert Shop
Starr Hill,38.032093,-78.48727060000002,Little Star,38.030654,-78.487535,Tapas Restaurant
Starr Hill,38.032093,-78.48727060000002,Bella's Restaurant,38.031527881950204,-78.49012445776167,Italian Restaurant
Starr Hill,38.032093,-78.48727060000002,Omni Charlottesville Hotel,38.031405810822974,-78.48393756445489,Hotel
Starr Hill,38.032093,-78.48727060000002,Subway,38.032418,-78.485238,Sandwich Place
Starr Hill,38.032093,-78.48727060000002,Reid Super-Save Market,38.03499553272699,-78.48589542070458,Grocery Store
Starr Hill,38.032093,-78.48727060000002,Amtrak Station - Charlottesville (CVS),38.031812079813555,-78.49149074921638,Train Station
Starr Hill,38.032093,-78.48727060000002,Virginia ABC Store,38.030874534682354,-78.48800703019589,Liquor Store
Starr Hill,38.032093,-78.48727060000002,Carver Recreation Center,38.03232860437321,-78.48706104286943,Gym / Fitness Center
Starr Hill,38.032093,-78.48727060000002,Parallel 38,38.0318975,-78.4912231,Mediterranean Restaurant
Starr Hill,38.032093,-78.48727060000002,Quirk Hotel,38.031107,-78.487526,Hotel
Starr Hill,38.032093,-78.48727060000002,Seafood @ West Main,38.03060430669574,-78.48752760811946,Seafood Restaurant
Starr Hill,38.032093,-78.48727060000002,Quest Bookstore,38.03147888183594,-78.48906707763672,Bookstore
Venable,38.0432183,-78.50076570000002,Afghan Kabob Palace,38.0438870588169,-78.5052419031565,Middle Eastern Restaurant
Woolen Mills,38.020366,-78.45618950000002,WillowTree,38.019429,-78.456396,IT Services
Woolen Mills,38.020366,-78.45618950000002,Decipher Brewing,38.022002,-78.459889,Brewery
Woolen Mills,38.020366,-78.45618950000002,Rivanna River - Woolen Mills Dam,38.02044965669907,-78.45418912805637,Dam
Woolen Mills,38.020366,-78.45618950000002,Selvedge Brewing,38.01964826742016,-78.45578044652939,Brewery
Woolen Mills,38.020366,-78.45618950000002,1731,38.023853,-78.457196,Gluten-free Restaurant
